Country Code,Region,acf_Y,acf_C,acf_I,acf_TB
ARG,Latin America & Caribbean,0.5588928782461622,0.4883475855513455,0.5066156413931407,0.40553090130384417
BDI,Sub-Saharan Africa,0.35258263793801725,0.36885500953780664,0.3385536405717257,0.38694365679370685
BEN,Sub-Saharan Africa,0.42813513660294306,0.42919946681299137,0.1544322157975414,0.29417096849841945
BFA,Sub-Saharan Africa,0.2677851141823282,0.5525368587839585,0.5602159761075965,0.2892086038996137
BRA,Latin America & Caribbean,0.7209296280126276,0.37844616422858557,0.5242493321999776,0.5571838825222729
BWA,Sub-Saharan Africa,0.6911239610919776,0.6106951060396497,0.5300614562354808,0.4750165227462147
CAF,Sub-Saharan Africa,0.4365533279758024,0.34305928305458755,0.2557671462023842,0.05486852967071668
CHL,Latin America & Caribbean,0.6425636250992431,0.6055459655152107,0.1329919629952572,0.2906399658239295
CIV,Sub-Saharan Africa,0.580732834060985,0.44468244568959675,0.4886533300839103,0.4199519734110199
CMR,Sub-Saharan Africa,0.6659219099242633,0.4773829454136228,0.3740756801488575,-0.0010895572142160998
COG,Sub-Saharan Africa,0.7121634983599245,0.33269513954302704,0.5871716723397569,0.31082380065466014
COL,Latin America & Caribbean,0.7519244472237914,0.4830084328617738,0.5027426292036637,0.4561502193821837
COM,Sub-Saharan Africa,0.4083478037813378,0.5288016625746917,0.11582111400335131,0.37678715572301874
GAB,Sub-Saharan Africa,0.6388955571175713,0.19115393222937435,0.472713247623194,0.3730736956254926
GHA,Sub-Saharan Africa,0.6082420767557014,0.34720247909127167,0.4321601972258842,-0.14390183568001833
GIN,Sub-Saharan Africa,0.40526286920662413,0.46530194153745685,0.06898362792573055,0.14149594623396172
GMB,Sub-Saharan Africa,0.38788946656479434,0.2748371006616498,0.4337310490092394,0.5155462788799592
GNB,Sub-Saharan Africa,0.03397217941685157,0.18034399440375448,0.07047769077578102,0.07168244255564918
HKG,East Asia & Pacific,0.5075896260266656,0.45508561489328564,0.636860789272801,0.6067770423912014
IDN,East Asia & Pacific,0.6781167159645575,0.2607112326237338,0.3494439214026672,0.3086111633239927
KEN,Sub-Saharan Africa,0.3157259544415624,0.3026633855312901,0.13912953285422044,0.2340248373727442
KOR,East Asia & Pacific,0.5182480339231591,0.30832875221166656,0.3017888747269371,0.42995296418216433
MDG,Sub-Saharan Africa,0.41970002331485906,0.17696376149108894,0.5234247462630152,0.4031198995674548
MEX,Latin America & Caribbean,0.5750596551780824,0.3578702219061778,0.4464184472839354,0.5680713042876709
MLI,Sub-Saharan Africa,0.40717722295886233,0.4306946323538185,-0.05139534453155611,0.21445580606222323
MRT,Sub-Saharan Africa,0.35658415053482945,0.04284495869961371,0.27514089894842886,0.3831965477239052
MUS,Sub-Saharan Africa,0.5438933982133183,0.6398849332970648,0.43934107452048615,0.5072899377393724
MYS,East Asia & Pacific,0.6251619297589898,0.5135851561816872,0.5981927571265833,0.5193250431223048
NAM,Sub-Saharan Africa,0.535526619073946,-0.016603055487067114,0.44516681662121743,0.25980861660113974
NER,Sub-Saharan Africa,0.5257901892034652,0.36127600760823225,0.27441368619966783,0.16849833149580956
PER,Latin America & Caribbean,0.6364756903073286,0.5592446502939183,0.5749692525533282,0.48133371356545374
PHL,East Asia & Pacific,0.7120250782225396,0.6304534204931869,0.5469758329096663,0.4752436396135718
RWA,Sub-Saharan Africa,0.16212845417420027,0.4616000646719369,-0.09465942364486384,-0.01711022670820786
SDN,Sub-Saharan Africa,0.5129355443680467,0.5860138729718145,0.20458252460138296,0.29668724762067994
SEN,Sub-Saharan Africa,0.21083814061673184,0.44014932464017326,0.37744560804760025,0.3818074067748537
SGP,East Asia & Pacific,0.6088584026573577,0.6490464477740281,0.47712911774276767,0.36729203151536716
SYC,Sub-Saharan Africa,0.3777791856932922,0.3882125610614779,0.3741572153675874,0.21676944648606428
TCD,Sub-Saharan Africa,0.5693874648687618,-0.11091822499444025,0.5497030056375994,0.39731159350839723
TGO,Sub-Saharan Africa,0.4948054519034422,0.2663442131999067,0.18458807369210914,0.11130409217538091
THA,East Asia & Pacific,0.7414181290330351,0.5084727125521145,0.580214124387229,0.47242831446872985
TZA,Sub-Saharan Africa,0.5013737787948201,0.6087054849819191,0.38579333223532225,0.6376940449110002
UGA,Sub-Saharan Africa,0.6812632396115926,0.26963316565066975,0.17601392137332858,0.3048598201426602
VEN,Latin America & Caribbean,0.5712633521057895,0.4187034624657181,0.35075162396152854,0.2710177350098874
ZAF,Sub-Saharan Africa,0.5813246913124813,0.4639529575638457,0.37293947983427206,0.40231738393468336
ZWE,Sub-Saharan Africa,0.7280857459069864,0.4033365583750101,0.5390801076684818,0.35458624756151774
