Country Code,Region,acf_Y,acf_C,acf_I,acf_TB
ARG,Latin America & Caribbean,0.8291718565104494,0.6292239361998637,0.7623938601368665,0.6384881308640168
BDI,Sub-Saharan Africa,0.8131264354314204,0.6696881693349034,0.7930027172714437,0.6593458032792759
BEN,Sub-Saharan Africa,0.645472300125514,0.7633877619664765,0.5804191032045217,0.8037815461145128
BFA,Sub-Saharan Africa,0.6856011703309656,0.8274772053227427,0.7829666450830518,0.7456361056444024
BRA,Latin America & Caribbean,0.9409378866230758,0.8942482477370994,0.8249702491477052,0.7886442689452434
BWA,Sub-Saharan Africa,0.8345327908910906,0.8211678167069794,0.8620505738887915,0.7805612032360143
CAF,Sub-Saharan Africa,0.639013624731789,0.6947706581477311,0.48591187788298545,0.5160173113139896
CHL,Latin America & Caribbean,0.8837656506679846,0.7913800496783406,0.5052228498033214,0.6302820829373605
CIV,Sub-Saharan Africa,0.9559532669385846,0.5553571345099164,0.8904612370976989,0.5752201687816471
CMR,Sub-Saharan Africa,0.9406957361770966,0.8922794867334806,0.8805658431463219,0.38439674753614533
COG,Sub-Saharan Africa,0.8984036925387963,0.603756980182217,0.7394135268322298,0.4178611743614432
COL,Latin America & Caribbean,0.9304281229456125,0.8723829224502438,0.7125876790599719,0.6128805457919881
COM,Sub-Saharan Africa,0.6320574257204526,0.7003064742786941,0.4152809286960094,0.5909328331345419
GAB,Sub-Saharan Africa,0.8826980101433445,0.7221825785021664,0.642481615421656,0.5425309796520068
GHA,Sub-Saharan Africa,0.8730751608118207,0.6787992240555419,0.6725323657826051,0.754334991976188
GIN,Sub-Saharan Africa,0.7271467309860935,0.6390951954488202,0.22519533966927677,0.36771518224664357
GMB,Sub-Saharan Africa,0.7520964365649068,0.46072225215712376,0.8172002848103852,0.755254834996374
GNB,Sub-Saharan Africa,0.4468954724990851,0.3539169668482834,0.40818619619169716,0.13066847906075815
HKG,East Asia & Pacific,0.8078799873657223,0.8098615452503088,0.7938721379069649,0.8071448663409172
IDN,East Asia & Pacific,0.8830515082950238,0.7040386275116942,0.7256604135604392,0.5478061627904408
KEN,Sub-Saharan Africa,0.8872910500524727,0.5524529742461881,0.76762903839741,0.41873370254235615
KOR,East Asia & Pacific,0.8870342069800204,0.8955907691528066,0.47390070775919646,0.5600853484426137
MDG,Sub-Saharan Africa,0.8499974581250676,0.5896934397649422,0.73311486313303,0.6946967909060731
MEX,Latin America & Caribbean,0.8520787865474577,0.5937130687447447,0.7353032675642105,0.7403605922286303
MLI,Sub-Saharan Africa,0.6119310436180458,0.822443120932825,0.18333126787922321,0.5808417254053326
MRT,Sub-Saharan Africa,0.8336711926419533,0.36927501028036464,0.5782013857059956,0.7520963390296875
MUS,Sub-Saharan Africa,0.8120630999845326,0.8293188898644951,0.694013877490194,0.6849508130684747
MYS,East Asia & Pacific,0.7926603566186962,0.7623636846707139,0.769168659523962,0.7784503103871768
NAM,Sub-Saharan Africa,0.8688961672768957,0.3111568913219635,0.6900127546370634,0.40230053051917225
NER,Sub-Saharan Africa,0.7778758428843866,0.7804297607523991,0.6050365410939837,0.594613310281769
PER,Latin America & Caribbean,0.9395088925166571,0.9155660513777104,0.7555687750213659,0.6581915035739292
PHL,East Asia & Pacific,0.95908007844064,0.6772258403769441,0.6606526022362051,0.759307785122286
RWA,Sub-Saharan Africa,0.8101042545248679,0.8372829093583624,0.7903756536321788,0.21603383374714388
SDN,Sub-Saharan Africa,0.8741874523268073,0.7773872610212244,0.7876601977696466,0.6342473540814282
SEN,Sub-Saharan Africa,0.5650102323222362,0.871227992768549,0.5849551266641086,0.7437713849936762
SGP,East Asia & Pacific,0.7572571067991863,0.796973697618644,0.8628643181593634,0.683455822971392
SYC,Sub-Saharan Africa,0.6695835515588786,0.6158646689862122,0.5832954719472073,0.46244459848488934
TCD,Sub-Saharan Africa,0.7924881674571032,0.12218162586137875,0.6168580984141221,0.5367736506193516
TGO,Sub-Saharan Africa,0.8911297202156518,0.5469698329480345,0.4332536139085268,0.39155773467236804
THA,East Asia & Pacific,0.8986401164954602,0.6631330840467113,0.7597730596343925,0.616879598754692
TZA,Sub-Saharan Africa,0.673446798429151,0.6538369337695249,0.7256313364000123,0.8510587821801494
UGA,Sub-Saharan Africa,0.8820609542995059,0.5635445650999272,0.408567635232999,0.39069901405902446
VEN,Latin America & Caribbean,0.8469785653938833,0.7693328965364434,0.7204255849869295,0.4779851362128347
ZAF,Sub-Saharan Africa,0.9638805907409373,0.912147012487669,0.9073862614604592,0.6444151217973465
ZWE,Sub-Saharan Africa,0.8932453101403754,0.6170070667366448,0.7995305392918104,0.735804149974922
