Country Code,Region,corr_Y_C,corr_Y_I,corr_Y_TB,corr_C_I,corr_C_TB,corr_I_TB
ARG,Latin America & Caribbean,0.8465924241978482,0.8608177552175649,-0.16162870372695556,0.7968082708326947,-0.21437612417033666,-0.16527130113707822
BDI,Sub-Saharan Africa,0.7111705751463516,0.16683208316940404,0.135857628856132,-0.12091908027089547,-0.009051195781620364,-0.026240675381372165
BEN,Sub-Saharan Africa,0.5314610157739044,0.297041972372354,0.12937207306380408,-0.22617979806543906,0.018007514544102456,-0.10999159154314303
BFA,Sub-Saharan Africa,0.4756371127309884,0.38659786735101337,0.06851524053350874,-0.31482559362201207,-0.18301670237450088,0.03592074381389088
BRA,Latin America & Caribbean,0.4642170874542337,0.7179137890037791,-0.17100781216830482,0.06904977451954264,-0.3592381174254931,-0.0027052471238635067
BWA,Sub-Saharan Africa,0.2334660700689027,0.34828925099610625,-0.23248183904454447,0.3015822821251896,-0.34115052168415017,-0.34085059043001775
CAF,Sub-Saharan Africa,0.8209172222905871,0.46378441647400126,-0.12702859472312927,0.18194357808219214,-0.2696043343031794,-0.23173062559742433
CHL,Latin America & Caribbean,0.6114015206457858,0.6396818556979847,0.15020206002825798,0.03668708127948148,-0.1267577478215282,0.012978305345209204
CIV,Sub-Saharan Africa,0.5967055839455132,0.6017228799886667,0.19587006983625704,0.2633216860455081,-0.06436821799675786,0.007235655936703157
CMR,Sub-Saharan Africa,0.731207636315817,0.6702510796699375,-0.2804108793069113,0.3303637309700468,-0.45619500524354667,-0.23590766096711788
COG,Sub-Saharan Africa,0.07568578039002459,0.3225071755460544,-0.008286792962009057,0.2474969237995306,-0.25910938311192405,-0.16194117709993858
COL,Latin America & Caribbean,0.6523882354117396,0.6281159825610881,0.06371668665023124,0.623017093089595,-0.1853581975464615,-0.15734818180548893
COM,Sub-Saharan Africa,0.9615592723499842,0.5336676746052199,-0.30436841699905104,0.5190577400331283,-0.4313088775338929,-0.27753056536870013
GAB,Sub-Saharan Africa,-0.09453897078226416,0.8012462427254377,-0.19089899984081937,-0.003182766522830749,-0.5550671873458329,-0.11275068432070345
GHA,Sub-Saharan Africa,0.658412081730123,0.11137732290621528,-0.41804738097103467,-0.5366943631977149,-0.3473868780224105,-0.055016712567789804
GIN,Sub-Saharan Africa,-0.10302614529848927,-0.015489488003242511,-0.342277841483553,0.33648036309636176,-0.22593056116597274,-0.3680071497837342
GMB,Sub-Saharan Africa,0.14266159826688599,0.31245021774091386,0.10286705753891037,-0.2693680323955818,0.09829770567394372,-0.0976344572551236
GNB,Sub-Saharan Africa,0.6858256643213899,0.31259459169185994,0.03582158584228356,0.16709304411691966,-0.2669118094703895,-0.19604464003493724
HKG,East Asia & Pacific,0.6044868790401706,0.7337573443727058,0.09890228767470736,0.37067891904015127,0.03231950328314763,-0.0497229066793045
IDN,East Asia & Pacific,0.3276997278632465,0.25723744801691495,-0.07044271781571422,-0.30972426357362565,-0.12479483445724564,-0.23120146922933474
KEN,Sub-Saharan Africa,0.6630507972073147,0.3064966197442639,-0.0926169943941203,-0.11609199889992042,-0.3381302672937709,0.03230623731532201
KOR,East Asia & Pacific,0.7165462222392435,0.654470307171609,-0.268656826817514,0.39342530314268676,-0.2881339672490151,-0.346578566926462
MDG,Sub-Saharan Africa,0.021224463180956294,0.4252312983040397,-0.055210946570127054,-0.706307857262383,-0.04267204833808734,-0.1518301690858932
MEX,Latin America & Caribbean,0.7669124533635336,0.7552445620697887,-0.4387725737826831,0.6515239236412893,-0.31524690345608813,-0.36898887496718585
MLI,Sub-Saharan Africa,0.121256081750953,0.3117047195175114,0.02168754134356669,-0.16476761875419443,-0.09345687612489509,-0.24850027442191858
MRT,Sub-Saharan Africa,0.3570838954431869,-0.0498036249234455,0.23214391087831276,-0.47615843781392114,0.07250138782693837,-0.2339109397957716
MUS,Sub-Saharan Africa,0.32315914883021474,0.6220496226238468,0.1479259952871896,0.2260995898519877,-0.26416590241762977,-0.02399439196918901
MYS,East Asia & Pacific,0.5121540505973725,0.7908396715605336,-0.32052699431615805,0.6158294718158331,-0.23067899447859205,-0.3545790817114417
NAM,Sub-Saharan Africa,0.34131949668000167,0.17378866881890442,-0.05226885863801689,-0.07184765591143441,-0.3098692068623902,-0.04458213247651614
