Country Code,Region,sd_Y,sd_C,sd_I,sd_TB,sdC_over_sdY,sdI_over_sdY
ARG,Latin America & Caribbean,3.3024032239640997,4.9557243600317555,10.669436271210701,1.8301954404178842,1.5006418126260976,3.2308096702992706
BDI,Sub-Saharan Africa,3.035811903577202,4.471856040783902,18.67580633998332,2.7153383343052115,1.4730346223079762,6.15183250252658
BEN,Sub-Saharan Africa,1.9370371104876802,3.343926983017101,11.786146102894733,1.855619621968744,1.7263102316998014,6.084625864461307
BFA,Sub-Saharan Africa,1.7546001034009895,3.8495033062836943,8.872047318079987,1.3410995227254816,2.1939490934840915,5.056449786411761
BRA,Latin America & Caribbean,2.0203291563464223,3.4663715891133235,7.55956932866417,0.9644722678155406,1.7157459606146233,3.7417513403285976
BWA,Sub-Saharan Africa,3.0947907853482644,4.485177209981695,12.268149472225124,4.659164204236575,1.4492666939606929,3.9641288614101127
CAF,Sub-Saharan Africa,4.668585733048972,5.781201381119909,16.778058838079836,2.5089476027365123,1.2383196350438033,3.593820441018736
CHL,Latin America & Caribbean,2.9739589565055726,3.902715896294794,14.308594483824802,1.9481790280307283,1.3122964887452646,4.811295210555805
CIV,Sub-Saharan Africa,2.8087476808379983,3.5018036097958594,11.901693791341387,2.4797359976035658,1.2467490881028822,4.237366664345756
CMR,Sub-Saharan Africa,2.62651459422853,3.396310716216772,9.39973683807626,1.8470412934819829,1.2930865580110547,3.5787872105226914
COG,Sub-Saharan Africa,3.568937841873262,11.666404729479126,18.0019085940805,10.453401246527283,3.2688730502954546,5.0440521498776425
COL,Latin America & Caribbean,1.215106685413491,1.6466747831036723,6.97301408393882,1.5168934073616485,1.3551688941151057,5.7386023529003625
COM,Sub-Saharan Africa,1.7292149661658458,1.9579454221833998,3.833736064150512,0.7166838953436173,1.1322741593688108,2.217038447597397
GAB,Sub-Saharan Africa,5.716060609471627,8.908299083312002,17.53775746531341,5.895668372666363,1.558468268959705,3.0681545671949304
GHA,Sub-Saharan Africa,2.5841232924731337,3.894583546435321,12.59591857500371,2.4413765252580113,1.5071198645123516,4.874348918138806
GIN,Sub-Saharan Africa,1.3244612744946653,7.532254743671424,15.568787927564696,5.905930070632245,5.687032825135094,11.7548079565443
GMB,Sub-Saharan Africa,2.27066578558426,5.947163454883747,20.309326630786284,2.66277551933921,2.619127611223285,8.944216608064377
GNB,Sub-Saharan Africa,3.9745937590102103,6.215227493477498,17.340345754043728,6.249815154731482,1.5637390561960904,4.362797006545389
HKG,East Asia & Pacific,2.408975086286109,2.38720914399303,9.239604248139665,1.642827728044199,0.9909646461613535,3.835491824194938
IDN,East Asia & Pacific,1.9575762762067583,3.3883696724882904,11.769378679143685,2.0142078409989828,1.730900457709885,6.012219713833827
KEN,Sub-Saharan Africa,2.63039013242965,4.257629631914598,9.58758135330383,2.157960079616661,1.6186304759217949,3.6449275090793973
KOR,East Asia & Pacific,1.8683779786241652,2.3509862551089302,8.084756712991325,1.9524754168766054,1.2583033422606211,4.327152645496696
MDG,Sub-Saharan Africa,2.4446624454928485,8.561620118165465,20.682744390537007,1.9149835528042196,3.502168626163612,8.460368190573373
MEX,Latin America & Caribbean,2.036860568117153,2.2744659604489113,6.10146838607618,1.1569978454175704,1.1166527527956405,2.995525801609629
MLI,Sub-Saharan Africa,2.926260940347911,3.782023938495628,8.093230425443464,3.0155751493532117,1.2924424771380685,2.765724106778132
MRT,Sub-Saharan Africa,3.3284613019585545,9.22309330093334,24.99940394623528,4.969991780393421,2.7709780779203372,7.510799038440066
MUS,Sub-Saharan Africa,2.8384698553104393,1.6959781743493842,8.397514581309874,2.2180358650843743,0.5974973351139914,2.958465303268634
MYS,East Asia & Pacific,1.8753171218756068,3.019707486071206,9.483276616133505,3.09220828738307,1.6102383169471794,5.056892247988843
NAM,Sub-Saharan Africa,1.781396220325892,7.10707835496941,13.027681441839759,4.702996786330614,3.9896112239809445,7.313185743403256
NER,Sub-Saharan Africa,3.3215078447415025,3.2738027005904877,23.007382962075766,2.1513075188781006,0.98563750369383,6.926788686800866
PER,Latin America & Caribbean,3.112071389711467,3.7314000610169797,11.859004058663563,2.2743855404590776,1.1990085039029048,3.810646535252863
PHL,East Asia & Pacific,1.7702260049252947,0.9937884642276851,10.26206362122856,1.366535245117657,0.5613907272080911,5.797035854561197
RWA,Sub-Saharan Africa,6.302293621827032,4.379572487441327,12.665431582691683,4.886400477289459,0.6949172396972026,2.0096543167755456
SDN,Sub-Saharan Africa,3.584344979408638,5.227923312474026,16.854154324060968,2.077227345085768,1.4585435672368101,4.702157415339426
SEN,Sub-Saharan Africa,1.997146705209563,2.0705877142277727,8.222282373585681,1.4753927700248337,1.0367729665660708,4.117014715112232
SGP,East Asia & Pacific,2.334606515880365,2.2412088928895892,7.65785430347148,2.455795369793014,0.9599942763992688,3.280147747117785
SYC,Sub-Saharan Africa,3.8922697711727148,11.800641282330727,16.908152806957567,5.238762132378546,3.0318148474007938,4.344034149992448
TCD,Sub-Saharan Africa,4.843883462146884,8.09410388383971,18.97746707071087,9.338341386521817,1.6709947601118127,3.917820735988508
TGO,Sub-Saharan Africa,3.3093343552181103,6.445047334972543,25.44557234426415,4.133027641665555,1.9475358616484568,7.689030364714264
